Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Sensor Voltage (V)
0,14.59,14.16,108,1207,74.90,16.00,2.32,21,0.00,5.08,0.00,0,0.31,0.00,0.0,-9.72,6.15,0.00,0.54
73,14.59,14.16,108,1212,74.90,15.50,2.33,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.07,0.00,0.54
146,14.36,14.16,108,1210,74.90,15.50,2.32,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
219,14.47,14.16,108,1203,74.90,16.50,2.31,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.07,0.00,0.54
292,14.36,14.16,108,1212,74.90,15.50,2.33,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.07,0.00,0.54
365,14.47,14.16,108,1196,74.90,17.00,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
438,14.36,14.16,108,1196,74.90,16.50,2.30,22,0.00,5.08,0.00,0,0.31,0.00,0.0,-9.58,6.15,0.00,0.54
512,14.24,14.16,108,1210,74.90,15.50,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
584,14.47,14.16,108,1206,74.90,14.00,2.32,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
657,14.47,14.16,108,1209,74.90,15.50,2.32,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
730,14.36,14.16,108,1214,74.90,14.50,2.33,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
803,14.47,14.16,108,1218,74.90,14.00,2.34,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
876,14.36,14.16,108,1214,74.90,15.00,2.33,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
950,14.59,14.16,108,1214,74.90,14.50,2.32,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
1022,14.59,14.24,108,1203,74.90,16.00,2.33,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
1095,14.47,14.16,108,1205,74.90,15.50,2.31,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
1168,14.70,14.16,108,1217,74.90,14.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
1241,14.59,14.16,108,1211,74.90,15.00,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.07,0.00,0.54
1313,14.36,14.16,108,1206,74.90,15.50,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
1387,14.59,14.16,108,1212,74.90,15.00,2.33,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
1460,14.47,14.16,109,1209,74.90,15.50,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.07,0.00,0.54
1535,14.59,14.16,109,1216,74.90,15.00,2.33,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.11,0.00,0.54
1607,14.47,14.16,109,1202,74.90,16.00,2.35,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.11,0.00,0.54
1680,14.47,14.16,109,1202,74.90,16.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.07,0.00,0.54
1752,14.59,14.16,109,1211,74.90,15.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
1825,14.47,14.16,109,1201,74.90,16.00,2.33,22,0.00,5.08,0.00,0,0.31,0.00,0.0,-9.58,6.11,0.00,0.54
1899,14.59,14.16,109,1200,74.90,16.00,2.30,22,0.00,5.08,0.00,0,0.31,0.00,0.0,-9.58,6.12,0.00,0.54
1972,14.59,14.16,109,1222,74.90,13.50,2.35,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.07,0.00,0.54
2044,14.36,14.16,109,1211,74.90,15.00,2.33,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
2118,14.36,14.16,109,1204,74.90,15.50,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
2192,14.36,14.16,109,1214,74.90,14.50,2.33,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
2263,14.36,14.16,109,1206,74.90,15.50,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.07,0.00,0.54
2336,14.47,14.16,109,1218,74.90,14.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
2409,14.36,14.16,109,1211,74.90,14.00,2.34,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
2482,14.36,14.16,109,1208,74.90,15.50,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.72,6.07,0.00,0.54
2555,14.59,14.16,109,1207,74.90,15.50,2.32,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
2628,14.24,14.16,109,1196,74.90,16.50,2.30,21,0.00,5.08,0.00,0,0.31,0.00,0.0,-9.58,6.04,0.00,0.54
2701,14.47,14.16,109,1198,74.90,16.00,2.30,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
2774,14.36,14.16,109,1214,74.90,14.50,2.33,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
2848,14.47,14.16,109,1205,74.90,15.50,2.31,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
2920,14.47,14.16,109,1217,74.90,15.00,2.30,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
2992,14.36,14.16,109,1220,74.90,14.00,2.34,21,0.00,5.08,0.00,0,0.29,0.00,0.0,-9.58,5.96,0.00,0.54
3066,14.47,14.16,109,1213,74.90,14.50,2.34,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
3142,14.59,14.16,109,1218,74.90,14.50,2.34,21,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
3212,14.36,14.16,109,1202,74.90,16.00,2.31,21,0.00,4.93,0.00,0,0.31,0.00,0.0,-9.72,6.11,0.00,0.54
3285,14.59,14.16,109,1205,74.90,15.50,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.11,0.00,0.54
3358,14.47,14.16,109,1209,74.90,15.50,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.11,0.00,0.54
3431,14.59,14.16,109,1214,74.90,14.50,2.33,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
3505,14.47,14.16,109,1212,74.90,15.00,2.32,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
3577,14.24,14.16,109,1214,74.90,14.00,2.33,21,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.07,0.00,0.54
3651,14.36,14.16,109,1201,74.90,16.00,2.33,21,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.04,0.00,0.54
3723,14.47,14.16,109,1204,74.90,15.50,2.31,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.04,0.00,0.54
3796,14.36,14.16,109,1215,74.90,14.00,2.33,21,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.04,0.00,0.54
3869,14.47,14.16,109,1213,74.90,14.50,2.33,21,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.04,0.00,0.54
3942,14.36,14.16,109,1216,74.90,14.00,2.33,21,0.00,4.93,0.00,0,0.29,0.00,0.0,-9.72,6.00,0.00,0.54
4015,14.24,14.16,109,1208,74.90,15.50,2.32,21,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.00,0.00,0.54
4089,14.47,14.16,109,1203,74.90,15.50,2.31,21,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.04,0.00,0.54
4162,14.36,14.16,109,1208,74.90,15.00,2.32,21,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.00,0.00,0.54
4234,14.59,14.16,109,1208,74.90,15.00,2.32,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.72,6.04,0.00,0.54
4308,14.59,14.16,109,1189,74.90,17.00,2.32,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
4382,14.36,14.16,109,1199,74.90,15.50,2.28,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
4454,14.59,14.16,109,1205,74.90,15.00,2.31,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
4526,14.47,14.16,109,1202,74.90,15.00,2.31,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.07,0.00,0.54
4600,14.24,14.16,109,1202,74.90,15.50,2.31,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.11,0.00,0.54
4674,14.36,14.16,109,1204,74.90,15.00,2.31,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
4746,14.36,14.16,109,1199,74.90,15.50,2.30,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.07,0.00,0.54
4819,14.47,14.16,109,1212,74.90,14.00,2.30,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
4892,14.36,14.16,109,1205,74.90,14.50,2.33,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
4968,14.36,14.16,109,1201,74.90,15.50,2.31,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
5039,14.59,14.16,109,1208,74.90,14.50,2.32,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
5111,14.47,14.16,109,1195,74.90,15.50,2.29,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
5184,14.59,14.16,109,1198,74.90,15.50,2.30,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
5257,14.59,14.16,109,1212,74.90,14.00,2.33,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
5330,14.47,14.16,109,1206,74.90,14.50,2.32,22,0.00,5.08,0.00,0,0.29,0.00,0.0,-9.58,5.94,0.00,0.54
5403,14.59,14.16,109,1210,74.90,14.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
5477,14.36,14.16,109,1209,74.90,14.00,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
5550,14.36,14.16,109,1202,74.90,15.50,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
5622,14.59,14.16,109,1212,74.90,14.00,2.31,21,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
5695,14.47,14.16,109,1202,74.90,15.50,2.31,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.72,6.04,0.00,0.54
5768,14.47,14.16,109,1194,74.90,16.00,2.29,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
5841,14.59,14.16,109,1206,74.90,15.50,2.32,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
5915,14.47,14.16,109,1202,74.90,15.00,2.31,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
5986,14.47,14.16,109,1208,74.90,14.00,2.32,21,0.00,5.08,0.00,0,0.29,0.00,0.0,-9.58,5.93,0.00,0.54
6060,14.36,14.16,109,1201,74.90,15.50,2.32,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.90,0.00,0.54
6135,14.47,14.16,109,1199,74.90,15.50,2.31,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.72,6.07,0.00,0.54
6206,14.47,14.16,109,1210,74.90,14.00,2.30,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.07,0.00,0.54
6279,14.47,14.16,109,1210,74.90,14.00,2.32,21,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
6352,14.59,14.16,109,1197,74.90,15.50,2.30,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.72,6.04,0.00,0.54
6425,14.59,14.16,109,1200,74.90,15.50,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
6498,14.36,14.16,109,1204,74.90,15.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
6571,14.47,14.16,109,1190,74.90,14.50,2.28,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
6645,14.36,14.16,109,1192,74.90,16.00,2.29,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.07,0.00,0.54
6717,14.47,14.16,109,1210,74.90,14.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
6791,14.36,14.16,109,1196,74.90,15.50,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
6863,14.24,14.16,109,1202,74.90,15.00,2.30,21,0.00,5.08,0.00,0,0.29,0.00,0.0,-9.58,5.90,0.00,0.54
6936,14.36,14.16,109,1213,74.90,13.50,2.33,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
7009,14.36,14.16,109,1204,74.90,14.50,2.31,22,0.00,5.08,0.00,0,0.29,0.00,0.0,-9.58,5.96,0.00,0.54
7083,14.24,14.16,109,1207,74.90,15.00,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
7155,14.47,14.16,109,1204,74.90,14.50,2.31,22,0.00,5.08,0.00,0,0.31,0.00,0.0,-9.58,6.11,0.00,0.54
7230,14.59,14.16,109,1191,74.90,16.00,2.29,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.07,0.00,0.54
7301,14.59,14.16,109,1209,74.90,14.00,2.28,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.11,0.00,0.54
7375,14.47,14.16,109,1196,74.90,15.50,2.32,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
7448,14.47,14.16,109,1194,74.90,15.50,2.30,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.96,0.00,0.54
7521,14.59,14.16,109,1205,74.90,14.00,2.29,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
7593,14.24,14.16,109,1200,74.90,15.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
7666,14.47,14.16,109,1200,74.90,15.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
7739,14.59,14.16,109,1218,74.90,13.00,2.34,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
7812,14.36,14.24,109,1210,74.90,14.00,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
7885,14.59,14.16,109,1195,74.90,15.50,2.29,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.00,0.00,0.54
7958,14.47,14.24,109,1200,74.90,15.00,2.32,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,5.93,0.00,0.54
8031,14.59,14.16,109,1196,74.90,15.50,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
8105,14.59,14.16,109,1206,74.90,15.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.96,0.00,0.54
8178,14.36,14.16,109,1196,74.90,15.50,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
8249,14.47,14.16,109,1196,74.90,15.50,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
8323,14.47,14.16,109,1201,74.90,15.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
8396,14.36,14.16,111,1204,74.90,14.50,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
8469,14.59,14.16,111,1193,74.90,15.50,2.29,22,0.00,5.08,0.00,0,0.29,0.00,0.0,-9.58,5.93,0.00,0.54
8542,14.36,14.16,111,1199,74.90,15.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.96,0.00,0.54
8615,14.59,14.16,111,1200,74.90,15.00,2.29,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
8687,14.59,14.16,111,1194,74.90,15.50,2.30,22,0.00,5.08,0.00,0,0.31,0.00,0.0,-9.58,6.07,0.00,0.54
8761,14.36,14.16,111,1182,74.90,16.50,2.29,22,0.00,5.08,0.00,0,0.31,0.00,0.0,-9.58,6.04,0.00,0.54
8834,14.59,14.16,111,1192,74.90,15.50,2.27,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.96,0.00,0.54
8908,14.36,14.16,111,1196,74.90,15.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
8979,14.36,14.16,111,1192,74.90,15.50,2.29,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
9052,14.36,14.16,111,1204,74.90,14.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
9125,14.36,14.16,111,1186,74.90,16.00,2.28,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
9199,14.47,14.16,111,1176,74.90,17.00,2.26,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
9272,14.47,14.16,111,1195,74.90,14.50,2.28,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
9344,14.47,14.16,111,1185,74.90,16.00,2.29,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
9418,14.70,14.16,111,1200,74.90,14.00,2.27,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
9492,14.36,14.16,111,1193,74.90,15.00,2.29,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
9565,14.47,14.16,111,1185,74.90,15.50,2.27,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
9637,14.47,14.16,111,1186,74.90,15.50,2.28,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
9710,14.47,14.16,111,1183,74.90,15.50,2.27,21,0.00,5.08,0.00,0,0.31,0.00,0.0,-9.58,6.04,0.00,0.54
9784,14.59,14.16,111,1189,74.90,15.00,2.28,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
9857,14.36,14.16,111,1200,74.90,14.00,2.30,21,0.00,5.08,0.00,0,0.29,0.00,0.0,-9.58,5.94,0.00,0.54
9929,14.47,14.24,111,1199,74.90,13.00,2.30,21,0.00,5.08,0.00,0,0.29,0.00,0.0,-9.58,5.87,0.00,0.54
10002,14.47,14.16,111,1196,74.90,14.50,2.30,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
10076,14.36,14.16,111,1194,74.90,15.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
10148,14.47,14.16,111,1200,74.90,14.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
10221,14.59,14.16,111,1200,74.90,14.00,2.30,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
10294,14.47,14.16,111,1202,74.90,14.00,2.31,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.96,0.00,0.54
10368,14.70,14.16,111,1205,74.90,14.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
10440,14.36,14.16,111,1202,74.90,14.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
10513,14.59,14.16,111,1206,74.90,14.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
10587,14.47,14.16,111,1195,74.90,15.00,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.96,0.00,0.54
10660,14.47,14.16,111,1198,74.90,14.50,2.29,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
10733,14.59,14.16,111,1202,74.90,14.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.96,0.00,0.54
10806,14.47,14.16,111,1197,74.90,15.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
10878,14.47,14.16,111,1196,74.90,15.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
10951,14.59,14.16,111,1198,74.90,15.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
11025,14.36,14.24,111,1194,74.90,15.00,2.29,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
11098,14.70,14.16,111,1196,74.90,15.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
11171,14.36,14.16,111,1196,74.90,15.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
11243,14.59,14.16,111,1192,74.90,15.50,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
11317,14.59,14.16,111,1204,74.90,15.50,2.29,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.04,0.00,0.54
11390,14.36,14.16,111,1200,74.90,14.50,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
11463,14.59,14.16,111,1197,74.90,15.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
11536,14.47,14.16,111,1200,74.90,14.50,2.30,22,0.00,5.08,0.00,0,0.29,0.00,0.0,-9.58,5.90,0.00,0.54
11609,14.36,14.16,111,1205,74.90,14.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
11683,14.47,14.16,111,1188,74.90,16.00,2.28,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.90,0.00,0.54
11755,14.47,14.16,111,1195,74.90,15.00,2.29,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
11828,14.59,14.16,111,1202,74.90,14.00,2.29,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.96,0.00,0.54
11901,14.59,14.16,111,1191,74.90,15.50,2.31,21,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
11974,14.36,14.16,111,1199,74.90,14.50,2.29,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.96,0.00,0.54
12047,14.59,14.16,111,1203,74.90,14.00,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
12120,14.47,14.16,111,1195,74.90,15.00,2.29,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
12193,14.36,14.16,111,1196,74.90,15.50,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
12267,14.59,14.16,111,1206,74.90,14.00,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
12339,14.47,14.16,111,1197,74.90,15.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
12412,14.59,14.16,111,1203,74.90,14.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
12485,14.47,14.16,111,1200,74.90,14.50,2.31,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.96,0.00,0.54
12558,14.47,14.16,111,1195,74.90,15.00,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.93,0.00,0.54
12632,14.59,14.16,111,1207,74.90,14.00,2.29,22,0.00,4.93,0.00,0,0.29,0.00,0.0,-9.58,5.90,0.00,0.54
12704,14.24,14.16,111,1202,74.90,14.50,2.31,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,5.96,0.00,0.54
12778,14.47,14.16,111,1197,74.90,15.00,2.30,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,5.90,0.00,0.54
12851,14.59,14.16,111,1208,74.90,14.00,2.32,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,5.96,0.00,0.54
12924,14.36,14.16,111,1211,74.90,13.50,2.33,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,5.96,0.00,0.54
12997,14.59,14.16,111,1191,74.90,15.50,2.29,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.00,0.00,0.54
13069,14.36,14.16,111,1199,74.90,15.00,2.30,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.04,0.00,0.54
13143,14.47,14.16,111,1192,74.90,15.50,2.30,22,0.00,5.08,0.00,0,0.30,0.00,0.0,-9.58,6.00,0.00,0.54
13215,14.47,14.16,111,1198,74.90,15.00,2.29,22,0.00,4.93,0.00,0,0.29,0.00,0.0,-9.58,6.00,0.00,0.54
13289,14.36,14.16,111,1208,74.90,14.00,2.32,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,5.96,0.00,0.54
13362,14.36,14.16,111,1204,74.90,14.50,2.31,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.00,0.00,0.54
13435,14.36,14.16,111,1206,74.90,14.00,2.32,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.00,0.00,0.54
13507,14.24,14.16,111,1197,74.90,15.50,2.30,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,6.00,0.00,0.54
13581,14.47,14.16,111,1196,74.90,15.50,2.30,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,5.96,0.00,0.54
13653,14.36,14.16,111,1197,74.90,15.50,2.30,22,0.00,4.93,0.00,0,0.30,0.00,0.0,-9.72,5.87,0.00,0.54
