Time (msec),A/F Sensor #1 (AFR),Battery Voltage (V),Coolant Temperature (F),Engine Speed (rpm),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Knock Correction Advance (degrees),Manifold Absolute Pressure (psi),Throttle Opening Angle (%),Vehicle Speed (mph),Engine Load*  (g/rev),Feedback Knock Correction* (degrees),MAF/SD Blend Percentage (%),Manifold Relative Pressure (psi),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%)
0,14.59,14.16,115,1142,74.90,15.50,2.19,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-9.87,5.39,0.00
70,14.70,14.16,115,1143,74.90,15.50,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-9.87,5.45,0.00
142,14.47,14.16,115,1154,74.90,14.00,2.22,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-9.87,5.39,0.00
212,14.70,14.16,115,1144,74.90,15.50,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-9.87,5.35,0.00
283,14.47,14.16,115,1144,74.90,15.50,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-9.87,5.35,0.00
354,14.36,14.16,115,1140,74.90,15.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
425,14.59,14.16,115,1154,74.90,14.00,2.22,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
495,14.47,14.16,115,1158,74.90,15.00,2.22,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
566,14.47,14.16,115,1136,74.90,16.50,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
637,14.59,14.16,115,1148,74.90,14.50,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
707,14.47,14.16,115,1150,74.90,14.50,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.45,0.00
779,14.59,14.16,115,1148,74.90,15.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
850,14.59,14.16,115,1149,74.90,14.50,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
920,14.47,14.16,115,1148,74.90,15.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
990,14.59,14.16,115,1154,74.90,14.00,2.22,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
1061,14.59,14.16,115,1148,74.90,15.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.41,0.00
1131,14.59,14.16,115,1142,74.90,15.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
1203,14.36,14.16,115,1159,74.90,13.50,2.23,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
1273,14.59,14.16,115,1158,74.90,15.50,2.22,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
1344,14.47,14.16,115,1142,74.90,15.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
1413,14.47,14.16,115,1152,74.90,14.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
1485,14.70,14.16,115,1154,74.90,14.00,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
1557,14.59,14.16,115,1150,74.90,14.50,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
1627,14.59,14.16,115,1138,74.90,16.00,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.41,0.00
1697,14.70,14.16,115,1149,74.90,14.50,2.21,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.39,0.00
1768,14.47,14.16,115,1144,74.90,15.50,2.20,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.48,0.00
1839,14.59,14.24,115,1140,74.90,15.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
1908,14.47,14.16,115,1146,74.90,15.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
1980,14.47,14.16,115,1153,74.90,14.00,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
2050,14.47,14.24,115,1142,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
2122,14.36,14.16,115,1141,74.90,15.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
2192,14.59,14.24,115,1142,74.90,15.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
2263,14.47,14.16,115,1146,74.90,15.00,2.20,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.45,0.00
2334,14.47,14.16,115,1139,74.90,15.50,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
2404,14.59,14.16,115,1153,74.90,15.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
2474,14.36,14.16,115,1149,74.90,14.00,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
2545,14.47,14.16,115,1149,74.90,13.00,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
2616,14.47,14.16,115,1151,74.90,14.00,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
2687,14.36,14.16,115,1152,74.90,14.50,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-9.87,5.39,0.00
2758,14.70,14.16,115,1153,74.90,14.00,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-9.87,5.32,0.00
2829,14.59,14.16,115,1142,74.90,15.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
2900,14.59,14.16,115,1140,74.90,15.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
2970,14.36,14.16,115,1148,74.90,14.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
3041,14.59,14.16,115,1139,74.90,15.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
3114,14.47,14.16,115,1136,74.90,14.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
3181,14.47,14.08,115,1143,74.90,15.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
3253,14.59,14.16,115,1142,74.90,14.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
3324,14.59,14.16,115,1141,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
3395,14.59,14.16,115,1132,74.90,15.50,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
3465,14.70,14.16,115,1144,74.90,15.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
3538,14.47,14.16,115,1136,74.90,15.00,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
3606,14.70,14.16,115,1144,74.90,14.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
3677,14.47,14.16,115,1134,74.90,15.50,2.18,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.39,0.00
3748,14.59,14.16,115,1121,74.90,16.50,2.15,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.41,0.00
3818,14.47,14.16,115,1127,74.90,15.50,2.16,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.39,0.00
3889,14.59,14.16,115,1127,74.90,15.50,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
3960,14.47,14.16,115,1130,74.90,14.00,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
4030,14.36,14.16,115,1141,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
4101,14.59,14.16,115,1142,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.39,0.00
4172,14.59,14.16,115,1129,74.90,15.50,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.41,0.00
4243,14.59,14.16,115,1132,74.90,15.00,2.17,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.45,0.00
4315,14.59,14.16,115,1138,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.41,0.00
4384,14.36,14.16,115,1141,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
4454,14.59,14.16,115,1138,74.90,14.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
4526,14.47,14.16,115,1142,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.35,0.00
4596,14.59,14.16,115,1140,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
4667,14.47,14.16,115,1142,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
4738,14.47,14.16,115,1136,74.90,14.50,2.18,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.39,0.00
4809,14.59,14.16,115,1126,74.90,15.50,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.41,0.00
4879,14.47,14.16,115,1142,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
4951,14.59,14.16,115,1141,74.90,14.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
5020,14.59,14.16,115,1148,74.90,13.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
5092,14.47,14.16,117,1142,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
5164,14.59,14.16,117,1148,74.90,13.50,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
5233,14.59,14.16,117,1144,74.90,14.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
5304,14.59,14.16,117,1134,74.90,15.50,2.18,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.39,0.00
5375,14.70,14.16,117,1136,74.90,15.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.41,0.00
5445,14.47,14.16,117,1136,74.90,14.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
5516,14.47,14.16,117,1135,74.90,14.00,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
5587,14.36,14.16,117,1141,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
5658,14.59,14.16,117,1144,74.90,14.50,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
5728,14.36,14.16,117,1140,74.90,15.00,2.19,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.39,0.00
5800,14.59,14.16,117,1134,74.90,15.50,2.18,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.45,0.00
5870,14.59,14.16,117,1136,74.90,14.50,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.45,0.00
5943,14.47,14.16,117,1149,74.90,13.00,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
6012,14.70,14.16,117,1151,74.90,13.00,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
6083,14.59,14.16,117,1136,74.90,15.00,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
6152,14.59,14.16,117,1137,74.90,14.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.41,0.00
6224,14.59,14.16,117,1152,74.90,13.00,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.45,0.00
6294,14.47,14.16,117,1153,74.90,13.00,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
6365,14.59,14.16,117,1143,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
6436,14.47,14.16,117,1149,74.90,13.50,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
6507,14.70,14.16,117,1144,74.90,14.00,2.20,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.35,0.00
6577,14.47,14.16,117,1146,74.90,15.50,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
6647,14.59,14.16,117,1135,74.90,15.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.41,0.00
6722,14.59,14.16,117,1148,74.90,14.00,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
6791,14.47,14.16,117,1138,74.90,15.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
6859,14.59,14.16,117,1132,74.90,15.50,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.41,0.00
6931,14.59,14.16,117,1142,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.41,0.00
7002,14.36,14.16,117,1146,74.90,14.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
7072,14.47,14.16,117,1151,74.90,13.50,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
7143,14.36,14.16,117,1140,74.90,14.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
7213,14.59,14.16,117,1135,74.90,15.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
7285,14.47,14.16,117,1152,74.90,13.50,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
7355,14.59,14.16,117,1149,74.90,14.00,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
7426,14.47,14.16,117,1140,74.90,15.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
7497,14.47,14.16,117,1141,74.90,15.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
7567,14.59,14.16,117,1132,74.90,15.00,2.17,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.39,0.00
7637,14.59,14.16,117,1132,74.90,15.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
7709,14.59,14.16,117,1133,74.90,15.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
7779,14.59,14.16,117,1147,74.90,13.50,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
7850,14.36,14.16,117,1142,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
7921,14.47,14.16,117,1131,74.90,15.50,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
7991,14.47,14.16,117,1141,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
8062,14.36,14.16,117,1138,74.90,14.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
8133,14.47,14.16,117,1139,74.90,14.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
8203,14.47,14.16,117,1135,74.90,15.00,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
8273,14.59,14.16,117,1136,74.90,14.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
8345,14.47,14.16,117,1144,74.90,14.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
8416,14.59,14.16,117,1142,74.90,15.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
8487,14.47,14.16,117,1136,74.90,14.50,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
8557,14.36,14.16,117,1134,74.90,15.00,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
8627,14.59,14.16,117,1139,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
8698,14.47,14.16,117,1131,74.90,15.50,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
8768,14.47,14.16,117,1126,74.90,15.50,2.16,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.39,0.00
8838,14.59,14.16,117,1143,74.90,15.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
8911,14.36,14.16,117,1143,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
8980,14.47,14.16,117,1136,74.90,14.00,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
9052,14.36,14.16,117,1140,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
9121,14.59,14.16,117,1145,74.90,14.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
9193,14.36,14.16,117,1144,74.90,14.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
9263,14.59,14.16,117,1139,74.90,15.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
9334,14.59,14.16,117,1128,74.90,15.00,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
9406,14.47,14.16,117,1134,74.90,15.00,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
9477,14.59,14.16,117,1142,74.90,14.00,2.18,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.39,0.00
9546,14.59,14.16,117,1130,74.90,15.50,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
9617,14.59,14.16,117,1126,74.90,15.50,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
9688,14.70,14.16,117,1139,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
9759,14.47,14.16,117,1131,74.90,15.00,2.17,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.35,0.00
9829,14.59,14.16,117,1132,74.90,14.50,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
9900,14.36,14.16,117,1140,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
9970,14.47,14.16,117,1146,74.90,13.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
10041,14.36,14.16,117,1150,74.90,13.00,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
10112,14.47,14.16,117,1136,74.90,14.50,2.18,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.35,0.00
10183,14.59,14.16,117,1123,74.90,14.00,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.39,0.00
10254,14.36,14.16,117,1139,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
10325,14.47,14.16,117,1136,74.90,14.50,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
10395,14.47,14.16,117,1138,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
10466,14.24,14.16,117,1138,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
10535,14.47,14.16,117,1146,74.90,13.50,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
10606,14.36,14.16,117,1144,74.90,14.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
10677,14.47,14.16,117,1144,74.90,14.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
10749,14.59,14.16,117,1144,74.90,14.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
10819,14.59,14.16,117,1136,74.90,15.00,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.35,0.00
10890,14.59,14.16,117,1130,74.90,15.50,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
10960,14.36,14.16,117,1140,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
11032,14.59,14.16,117,1146,74.90,13.00,2.20,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
11102,14.36,14.16,117,1149,74.90,14.50,2.21,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
11172,14.36,14.16,117,1137,74.90,14.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
11243,14.47,14.16,117,1141,74.90,15.00,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
11314,14.24,14.16,117,1135,74.90,15.00,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
11384,14.36,14.16,117,1128,74.90,14.00,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
11455,14.36,14.16,117,1131,74.90,15.50,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
11526,14.47,14.16,117,1132,74.90,15.00,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
11597,14.47,14.16,117,1142,74.90,14.00,2.19,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
11668,14.36,14.16,117,1136,74.90,14.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
11737,14.24,14.16,117,1127,74.90,15.50,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
11810,14.24,14.16,117,1132,74.90,15.00,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
11880,14.47,14.16,117,1135,74.90,14.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
11951,14.36,14.16,117,1134,74.90,16.50,2.18,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
12021,14.47,14.16,117,1114,74.90,16.00,2.14,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
12092,14.47,14.16,117,1128,74.90,14.50,2.15,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
12162,14.24,14.16,117,1125,74.90,15.00,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
12233,14.36,14.24,117,1118,74.90,15.00,2.15,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
12304,14.47,14.16,117,1125,74.90,15.00,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
12375,14.47,14.16,117,1112,74.90,16.50,2.14,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.32,0.00
12445,14.59,14.16,117,1124,74.90,15.00,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
12517,14.36,14.16,117,1131,74.90,14.00,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
12586,14.47,14.16,117,1127,74.90,14.50,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
12658,14.36,14.16,117,1127,74.90,14.50,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
12729,14.70,14.16,117,1123,74.90,15.00,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
12800,14.59,14.16,117,1129,74.90,15.50,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
12870,14.70,14.16,117,1119,74.90,15.50,2.15,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-10.01,5.32,0.00
12941,14.70,14.16,117,1115,74.90,13.50,2.14,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
13012,14.59,14.16,117,1129,74.90,14.00,2.17,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
13082,14.70,14.08,117,1121,74.90,13.50,2.15,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
13153,14.47,14.16,117,1120,74.90,15.00,2.15,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
13224,14.59,14.16,117,1118,74.90,15.50,2.15,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.32,0.00
13295,14.59,14.16,117,1126,74.90,14.00,2.16,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
13365,14.36,14.16,117,1116,74.90,15.50,2.14,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.26,0.00
13437,14.59,14.16,117,1111,74.90,16.00,2.13,17,0.00,4.93,0.00,0,0.28,0.00,0.0,-10.01,5.29,0.00
13506,14.36,14.16,117,1114,74.90,15.50,2.14,17,0.00,4.93,0.00,0,0.29,0.00,0.0,-9.87,5.29,0.00
13577,14.59,14.16,117,1109,74.90,15.50,2.13,17,0.00,5.08,0.00,0,0.29,0.00,0.0,-9.87,5.35,0.00
13648,14.59,14.16,117,1122,74.90,14.00,2.15,17,0.00,5.08,0.00,0,0.28,0.00,0.0,-9.87,5.32,0.00
13718,14.59,14.16,117,1122,74.90,15.00,2.15,17,0.00,5.08,0.00,0,0.29,0.00,0.0,-9.87,5.32,0.00
13790,14.47,14.16,117,1117,74.90,14.00,2.15,17,0.00,5.08,0.00,0,0.28,0.00,0.0,-9.87,5.32,0.00
13860,14.36,14.16,117,1120,74.90,14.50,2.16,17,0.00,5.08,0.00,0,0.29,0.00,0.0,-9.87,5.32,0.00
13931,14.59,14.16,117,1125,74.90,14.00,2.16,17,0.00,5.08,0.00,0,0.29,0.00,0.0,-9.87,5.33,0.00
14001,14.47,14.16,117,1123,74.90,14.00,2.16,17,0.00,5.08,0.00,0,0.28,0.00,0.0,-9.87,5.29,0.00
